"ID";"ReportDate";"TotalInfringementsAmount";"global_id";"SpeedLimitInfringementsAmount";"BusLaneOffenceAmount";"TTKOffenceAmount";"ParkingOffenceAmount";"FormalizedTotalInfringements";"FormalizedSpeedLimitInfringementsAmount";"FormalizedBusLaneOffenceAmount";"FormalizedTTKOffenceAmount";"FormalizedParkingOffenceAmount";
"20";"20.01.2013";"5374";"1726857";"2953";"0";"0";"1789";"2440";"2105";"0";"0";"335";
"21";"21.01.2013";"25312";"1726858";"560";"18851";"0";"4709";"1551";"317";"50";"0";"1184";
"22";"22.01.2013";"29132";"1726859";"1153";"20724";"0";"5976";"2672";"659";"609";"0";"1404";
"23";"23.01.2013";"27909";"1726860";"1489";"18786";"0";"6380";"4061";"1031";"1064";"0";"1966";
"24";"24.01.2013";"29952";"1726861";"1239";"19982";"0";"7436";"2952";"561";"534";"0";"1857";
"25";"25.01.2013";"29735";"1726862";"1785";"20167";"0";"6535";"2165";"606";"184";"0";"1375";
"26";"26.01.2013";"7371";"1726863";"3671";"0";"0";"2786";"3007";"2502";"0";"0";"195";
"27";"27.01.2013";"11152";"1726864";"7869";"0";"0";"2543";"5489";"5134";"0";"0";"355";
"28";"28.01.2013";"35346";"1726865";"3538";"22068";"0";"8257";"3018";"1948";"310";"0";"1070";
"29";"29.01.2013";"28768";"1726866";"684";"19071";"0";"7663";"2535";"252";"1346";"0";"937";
"30";"30.01.2013";"30836";"1726867";"1704";"20051";"0";"7765";"2236";"990";"320";"0";"926";
"31";"31.01.2013";"16344";"1726868";"1146";"6650";"0";"7743";"3218";"759";"220";"0";"2239";
"32";"01.02.2013";"26518";"1726869";"951";"18549";"0";"6151";"1696";"561";"426";"0";"709";
"33";"02.02.2013";"12400";"1726870";"8595";"0";"0";"2617";"3802";"3528";"0";"0";"274";
"34";"03.02.2013";"11015";"1726871";"7651";"0";"0";"2450";"5627";"5463";"0";"0";"164";
"35";"04.02.2013";"37206";"1726872";"9682";"20759";"0";"5341";"5582";"4089";"4";"0";"1489";
"36";"05.02.2013";"30969";"1726873";"1265";"22079";"0";"5393";"3385";"811";"1379";"0";"1195";
"37";"06.02.2013";"52402";"1726874";"9115";"32786";"0";"7275";"3284";"2447";"277";"0";"560";
"38";"07.02.2013";"56497";"1726875";"10701";"35365";"0";"7294";"11491";"9428";"1578";"0";"485";
"75";"16.03.2013";"26380";"1726876";"22526";"0";"0";"3847";"11793";"10985";"0";"0";"808";
"76";"17.03.2013";"21979";"1726877";"17370";"0";"0";"4609";"11380";"10379";"0";"0";"1001";
"77";"18.03.2013";"51200";"1726878";"9659";"33126";"0";"8415";"9319";"4449";"1899";"0";"2971";
"78";"19.03.2013";"46055";"1726879";"5066";"33748";"0";"7241";"5156";"1352";"1034";"0";"2770";
"79";"20.03.2013";"49621";"1726880";"7458";"34695";"0";"7468";"9163";"3460";"2667";"0";"3036";
"80";"21.03.2013";"46217";"1726881";"5499";"34249";"0";"6469";"7471";"3153";"1901";"0";"2417";
"81";"22.03.2013";"52204";"1726882";"9950";"36495";"0";"5764";"6317";"1923";"2432";"0";"1962";
"82";"23.03.2013";"26266";"1726883";"22861";"0";"0";"3400";"11951";"11093";"0";"0";"858";
"83";"24.03.2013";"19766";"1726884";"16425";"0";"0";"3341";"7636";"6750";"0";"0";"886";
"84";"25.03.2013";"35203";"1726885";"1716";"28904";"0";"4583";"3121";"793";"254";"0";"2074";
"85";"26.03.2013";"45015";"1726886";"8427";"31522";"0";"5066";"6023";"2483";"1062";"0";"2478";
"86";"01.04.2013";"56620";"1726887";"8283";"34658";"0";"6966";"10537";"4565";"700";"0";"3004";
"87";"02.04.2013";"53848";"1726888";"13807";"27083";"0";"7564";"13150";"3398";"1804";"0";"3698";
"88";"03.04.2013";"55708";"1726889";"13205";"31730";"0";"6356";"18392";"7524";"2205";"0";"4369";
"89";"04.04.2013";"55113";"1726890";"13367";"31130";"0";"6710";"15209";"6260";"2388";"0";"3283";
"90";"05.04.2013";"54680";"1726891";"12382";"18650";"0";"7005";"19412";"8260";"1759";"0";"3342";
"91";"06.04.2013";"28396";"1726892";"20873";"0";"0";"3576";"22093";"9367";"0";"0";"1016";
"57";"26.02.2013";"62571";"1726893";"12875";"39159";"0";"7898";"11307";"5166";"3548";"0";"2593";
"58";"27.02.2013";"67024";"1726894";"14556";"40501";"0";"8689";"13623";"9751";"1282";"0";"2590";
"59";"28.02.2013";"47440";"1726895";"6419";"29713";"0";"8978";"14369";"5859";"6137";"0";"2373";
"60";"01.03.2013";"36939";"1726896";"5502";"20016";"0";"8133";"7211";"2649";"2196";"0";"2366";
"61";"02.03.2013";"14539";"1726897";"6875";"0";"0";"2769";"5077";"4215";"0";"0";"862";
"62";"03.03.2013";"22505";"1726898";"14313";"0";"0";"4530";"5826";"4745";"0";"0";"1081";
"63";"04.03.2013";"54367";"1726899";"8082";"25054";"0";"7544";"9522";"5458";"2048";"0";"2016";
"64";"05.03.2013";"53239";"1726900";"4494";"26738";"0";"6227";"6724";"2116";"2442";"0";"2166";
"65";"06.03.2013";"62471";"1726901";"7567";"33998";"0";"7554";"7381";"3994";"2914";"0";"2474";
"66";"07.03.2013";"65621";"1726902";"7524";"37119";"0";"6398";"9614";"1822";"5824";"0";"1968";
